Index,main_speaker,title,details,posted,url,
2853,Bettina Bair,Inside your computer,"How does a computer work? The critical components of a computer are the peripherals (including the mouse), the input/output subsystem (which controls what and how much information comes in and out), and the central processing unit (the brains), as well as human-written programs and memory. Bettina Bair walks us through the steps your computer takes with every click of the mouse. [Directed by Darcy Vorhees, narrated by Michelle Snow].",Posted Jul 2013,https://www.ted.com/talks/bettina_bair_inside_your_computer,
2854,Eric X. Li,A tale of two political systems,"It's a standard assumption in the West: As a society progresses, it eventually becomes a capitalist, multi-party democracy. Right? Eric X. Li, a Chinese investor and political scientist, begs to differ. In this provocative, boundary-pushing talk, he asks his audience to consider that there's more than one way to run a successful modern nation.",Posted Jul 2013,https://www.ted.com/talks/eric_x_li_a_tale_of_two_political_systems,
2855,Rodney Brooks,Why we will rely on robots,"Scaremongers play on the idea that robots will simply replace people on the job. In fact, they can become our essential collaborators, freeing us up to spend time on less mundane and mechanical challenges. Rodney Brooks points out how valuable this could be as the number of working-age adults drops and the number of retirees swells. He introduces us to Baxter, the robot with eyes that move and arms that react to touch, which could work alongside an aging population -- and learn to help them at home, too.",Posted Jun 2013,https://www.ted.com/talks/rodney_brooks_why_we_will_rely_on_robots,
2856,Joy Lin,If superpowers were real: Invisibility,"What if invisibility wasn't just the stuff of epic comic book stories? Is it scientifically possible to be invisible? In this series Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_invisibility,
2857,Joy Lin,If superpowers were real: Flight,"What if human flight wasn't just the stuff of epic comic book stories? Is it scientifically possible to fly? In this series Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_flight,
2858,Joy Lin,If superpowers were real: Immortality,"What if immortality wasn't just the stuff of epic comic book stories? Is it scientifically possible to be immortal? In this series Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_immortality,
2859,Joy Lin,If superpowers were real: Super strength,"What if super strength wasn't just the stuff of epic comic book stories? Is it scientifically possible to be super strong? In this series, Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_super_strength,
2860,Joy Lin,If superpowers were real: Super speed,"What if super speed wasn't just the stuff of epic comic book stories? Is it scientifically possible to be super speed? In this series Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_super_speed,
2861,Joy Lin,If superpowers were real: Body mass,"What if manipulating body mass wasn't just the stuff of epic comic book stories? Is it scientifically possible to manipulate your body mass? In this series Joy Lin tackles six superpowers and reveals just how scientifically realistic they can be to us mere mortals. [Directed by Cognitive Media, narrated by James Arnold Taylor].",Posted Jun 2013,https://www.ted.com/talks/joy_lin_if_superpowers_were_real_body_mass,
2862,Michael Archer,"How we'll resurrect the gastric brooding frog, the Tasmanian tiger","The gastric brooding frog lays its eggs just like any other frog -- then swallows them whole to incubate. That is, it did until it went extinct 30 years ago. Paleontologist Michael Archer makes a case to bring back the gastric brooding frog and the thylacine, commonly known as the Tasmanian tiger.",Posted Jun 2013,https://www.ted.com/talks/michael_archer_how_we_ll_resurrect_the_gastric_brooding_frog_the_tasmanian_tiger,
2863,Anna Post,How to set the table,"Can't remember where your soup spoon ought to go? What about your salad fork? Knowing how to set a traditional table can seem like antiquated etiquette -- but it can come in handy! Anna Post, great-great-granddaughter of etiquette expert Emily Post, shows how to set a table with a plate full of tips and tricks to boot -- even your grandmother will be impressed. [Narrated by Anna Post].",Posted Jun 2013,https://www.ted.com/talks/anna_post_how_to_set_the_table,
2864,Bob Mankoff,Anatomy of a New Yorker cartoon,"The New Yorker receives around 1,000 cartoons each week; it only publishes about 17 of them. In this hilarious, fast-paced, and insightful talk, the magazine's longstanding cartoon editor and self-proclaimed ""humor analyst"" Bob Mankoff dissects the comedy within just some of the ""idea drawings"" featured in the magazine, explaining what works, what doesn't, and why.",Posted Jun 2013,https://www.ted.com/talks/bob_mankoff_anatomy_of_a_new_yorker_cartoon,
2865,Marjee Chmiel and Trevor Owens,Is there a center of the universe?,"It's been a long road to the discovery that Earth is not the center of the Solar System, the Milky Way, or the universe; great thinkers from Aristotle to Bruno have grappled with it for millennia. But if we aren't at the center of the universe, what is? Marjee Chmiel and Trevor Owens discuss where we stand in the (very) big scheme of things. [Directed by Qa'ed Mai, narrated by Michelle Snow].",Posted Jun 2013,https://www.ted.com/talks/marjee_chmiel_and_trevor_owens_is_there_a_center_of_the_universe,
2866,Peter Attia,Is the obesity crisis hiding a bigger problem?,"As a young surgeon, Peter Attia felt contempt for a patient with diabetes. She was overweight, he thought, and thus responsible for the fact that she needed a foot amputation. But years later, Attia received an unpleasant medical surprise that led him to wonder: is our understanding of diabetes right? Could the precursors to diabetes cause obesity, and not the other way around? A look at how assumptions may be leading us to wage the wrong medical war.",Posted Jun 2013,https://www.ted.com/talks/peter_attia_is_the_obesity_crisis_hiding_a_bigger_problem,
2867,Scott Gass,How big is the ocean?,"While the Earth's oceans are known as five separate entities, there is really only one ocean. So, how big is it? As of 2013, it takes up 71% of the Earth, houses 99% of the biosphere, and contains some of Earth's grandest geological features. Scott Gass reminds us of the influence humans have on the ocean and the influence it has on us. [Directed by 20 Steps, narrated by Scott Gass]. ",Posted Jun 2013,https://www.ted.com/talks/scott_gass_how_big_is_the_ocean,
2868,Lesley Hazleton,The doubt essential to faith,"When Lesley Hazleton was writing a biography of Muhammad, she was struck by something: The night he received the revelation of the Koran, according to early accounts, his first reaction was doubt, awe, even fear. And yet this experience became the bedrock of his belief. Hazleton calls for a new appreciation of doubt and questioning as the foundation of faith -- and an end to fundamentalism of all kinds.",Posted Jun 2013,https://www.ted.com/talks/lesley_hazleton_the_doubt_essential_to_faith,
2869,Camille Seaman,Photos from a storm chaser,"Photographer Camille Seaman has been chasing storms for 5 years. In this talk she shows stunning, surreal photos of the heavens in tumult.",Posted Jun 2013,https://www.ted.com/talks/camille_seaman_photos_from_a_storm_chaser,
